t,o,h,l,c,v
1609430400000,28782.01000000,28821.85000000,28763.94000000,28811.85000000,95.83579500
1609430460000,28812.64000000,28822.59000000,28714.29000000,28726.62000000,58.51622700
1609430520000,28728.28000000,28744.76000000,28684.69000000,28693.37000000,75.03837300
1609430580000,28693.37000000,28715.15000000,28682.09000000,28690.29000000,37.12819300
1609430640000,28690.29000000,28734.70000000,28680.00000000,28715.11000000,38.41111200
1609430700000,28715.11000000,28741.26000000,28713.06000000,28735.88000000,25.01118200
1609430760000,28735.89000000,28747.43000000,28720.87000000,28732.01000000,28.18258400
1609430820000,28729.43000000,28729.43000000,28700.00000000,28700.01000000,24.41429000
1609430880000,28700.00000000,28720.00000000,28682.08000000,28720.00000000,18.95493900
1609430940000,28719.99000000,28729.20000000,28714.62000000,28719.85000000,18.41275900
1609431000000,28719.60000000,28729.19000000,28701.67000000,28708.71000000,41.24748600
1609431060000,28710.15000000,28719.78000000,28696.60000000,28706.24000000,17.99654400
1609431120000,28706.37000000,28715.85000000,28678.19000000,28678.19000000,38.17214700
1609431180000,28678.09000000,28683.25000000,28615.82000000,28653.79000000,152.11647100
1609431240000,28652.42000000,28655.90000000,28623.41000000,28648.53000000,47.90683700
1609431300000,28648.52000000,28653.01000000,28600.00000000,28603.55000000,48.90384600
1609431360000,28603.55000000,28603.55000000,28555.00000000,28595.65000000,112.68700400
1609431420000,28595.65000000,28622.49000000,28586.77000000,28606.44000000,48.33865700
1609431480000,28606.44000000,28633.82000000,28605.00000000,28630.53000000,34.66092200
1609431540000,28630.52000000,28670.73000000,28621.40000000,28669.24000000,38.16890100
1609431600000,28670.46000000,28707.97000000,28667.85000000,28702.03000000,48.59175800
1609431660000,28702.04000000,28703.75000000,28670.00000000,28671.30000000,40.40055200
1609431720000,28671.30000000,28682.99000000,28640.41000000,28673.95000000,44.27436700
1609431780000,28673.95000000,28692.41000000,28652.28000000,28664.27000000,50.35181900
